Day,Group,Exercise,Minutes,Calories Burned
2023-11-22,Uncategorized,Video Group Classes,35.0,-118.02
2023-11-22,Uncategorized,Resistance Training,30.0,-84.9
2023-11-22,Uncategorized,General Walking,21.0,-89.7
2023-11-24,Uncategorized,Resistance Training,30.0,-84.9
2023-11-24,Uncategorized,General Walking,24.0,-102.51
2023-11-26,Uncategorized,Video Group Classes,35.0,-196.7
2023-11-27,Uncategorized,Resistance Training,30.0,-84.9
2023-11-29,Uncategorized,Video Group Classes,35.0,-120.69
2023-11-29,Uncategorized,"Treadmill Walking, Moderate",30.0,-86.21
2023-12-01,Uncategorized,Video Group Classes,35.0,-120.69
2023-12-02,Uncategorized,Resistance Training,30.0,-84.9
2023-12-02,Uncategorized,General Walking,20.0,-85.67
2023-12-03,Uncategorized,Resistance Training,30.0,-84.9
2023-12-03,Uncategorized,General Walking,20.0,-85.67
2023-12-04,Uncategorized,Resistance Training,15.0,-42.27
2023-12-05,Uncategorized,Video Group Classes,35.0,-120.69
2023-12-05,Uncategorized,General Walking,20.0,-85.67
2023-12-06,Uncategorized,General Walking,27.0,-115.65
2023-12-07,Uncategorized,Resistance Training,30.0,-84.54
2023-12-07,Uncategorized,Video Group Classes,35.0,-120.69
2023-12-09,Uncategorized,Resistance Training,30.0,-84.54
2023-12-10,Uncategorized,General Walking,20.0,-85.67
2023-12-11,Uncategorized,Video Group Classes,35.0,-120.69
2023-12-11,Uncategorized,General Walking,22.0,-94.23
2023-12-13,Uncategorized,General Walking,20.0,-85.67
2023-12-14,Uncategorized,Video Group Classes,25.0,-84.54
2023-12-14,Uncategorized,Resistance Training,30.0,-84.54
2023-12-15,Uncategorized,Resistance Training,30.0,-84.54
2023-12-15,Uncategorized,Video Group Classes,25.0,-84.54
2023-12-19,Uncategorized,Resistance Training,30.0,-84.54
2023-12-19,Uncategorized,Video Group Classes,30.0,-101.45
2023-12-21,Uncategorized,Resistance Training,30.0,-84.54
2023-12-21,Uncategorized,Video Group Classes,30.0,-101.45
2023-12-22,Uncategorized,General Walking,20.0,-85.67
2023-12-24,Uncategorized,General Walking,20.0,-85.67
2023-12-24,Uncategorized,Resistance Training,30.0,-84.54
2023-12-26,Uncategorized,Resistance Training,30.0,-84.54
2023-12-26,Uncategorized,Video Group Classes,30.0,-101.45
2023-12-26,Uncategorized,General Walking,20.0,-85.67
2023-12-28,Uncategorized,Video Group Classes,30.0,-101.45
2023-12-28,Uncategorized,General Walking,20.0,-85.67
2023-12-29,Uncategorized,Video Group Classes,30.0,-101.45
2023-12-30,Uncategorized,Resistance Training,30.0,-84.54
2024-01-01,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-02,Uncategorized,General Walking,20.0,-85.67
2024-01-02,Uncategorized,Resistance Training,30.0,-84.54
2024-01-03,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-03,Uncategorized,General Walking,20.0,-85.67
2024-01-04,Uncategorized,General Walking,20.0,-85.67
2024-01-05,Uncategorized,Resistance Training,30.0,-84.54
2024-01-05,Uncategorized,General Walking,20.0,-85.67
2024-01-06,Uncategorized,General Walking,42.0,-179.9
2024-01-08,Uncategorized,Resistance Training,30.0,-84.54
2024-01-09,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-10,Uncategorized,Resistance Training,30.0,-84.54
2024-01-11,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-13,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-13,Uncategorized,Resistance Training,30.0,-84.54
2024-01-14,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-16,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-16,Uncategorized,Digging/Shovelling,15.0,-73.83
2024-01-19,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-19,Uncategorized,Resistance Training,30.0,-84.54
2024-01-19,Uncategorized,General Walking,20.0,-86.99
2024-01-20,Uncategorized,Resistance Training,30.0,-84.54
2024-01-21,Uncategorized,General Walking,34.0,-147.89
2024-01-22,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-22,Uncategorized,General Walking,38.0,-164.83
2024-01-24,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-25,Uncategorized,Resistance Training,30.0,-84.54
2024-01-27,Uncategorized,General Walking,52.0,-226.18
2024-01-28,Uncategorized,General Walking,59.0,-256.63
2024-01-29,Uncategorized,General Walking,20.0,-86.99
2024-01-30,Uncategorized,Video Group Classes,35.0,-118.35
2024-01-30,Uncategorized,Resistance Training,30.0,-84.54
2024-02-01,Uncategorized,General Walking,20.0,-86.99
2024-02-01,Uncategorized,Resistance Training,35.0,-100.16
2024-02-02,Uncategorized,Video Group Classes,35.0,-118.35
2024-02-03,Uncategorized,Video Group Classes,35.0,-118.35
2024-02-05,Uncategorized,Video Group Classes,35.0,-118.35
2024-02-05,Uncategorized,Resistance Training,30.0,-85.85
2024-02-07,Uncategorized,Video Group Classes,35.0,-118.35
2024-02-07,Uncategorized,Resistance Training,30.0,-85.85
2024-02-09,Uncategorized,Video Group Classes,35.0,-118.35
2024-02-09,Uncategorized,Resistance Training,30.0,-85.85
